NOMBRE DE LA UNIVERSIDAD,FECHA DE LICENCIAMIENTO,RESOLUCIÓN DE LICENCIAMIENTO,DEPARTAMENTO/PROVINCIA,TIPO DE GESTIÓN
Universidad Católica Santo Toribio de Mogrovejo,22-03-2018,Resolución / Más información,Lambayeque/Chiclayo,Privada
Universidad La Salle,19-01-2018,Resolución / Más información,Arequipa/Arequipa,Privada
Universidad Nacional de Jaén,14-01-2018,Resolución / Más información,Cajamarca/Jaén,Pública
Universidad Nacional de Moquegua,06-12-2017,Resolución / Más información,Moquegua/Mariscal Nieto,Pública
Universidad Católica de Santa María,31-12-2017,Resolución / Más información,Arequipa/Arequipa,Privada
Universidad Nacional del Altiplano,30-12-2017,Resolución / Más información,Puno/Puno,Pública
Universidad Andina del Cusco,23-12-2017,Resolución / Más información,Cusco/Cusco,Privada
Universidad Privada de Tacna,30-11-2017,Resolución / Más información,Tacna/Tacna,Privada
Universidad Nacional de Ingeniería,28-11-2017,Resolución / Más información,Lima/Lima,Pública
Universidad de Ciencias y Humanidades,21-11-2017,Resolución / Más información,Lima/Lima,Privada
Universidad Privada del Norte,11-11-2017,Resolución / Más información,La Libertad/Trujillo,Privada
Universidad Católica San Pablo,22-10-2017,Resolución / Más información,Arequipa/Arequipa,Privada
Universidad Marcelino Champagnat,12-10-2017,Resolución / Más información,Lima/Lima,Privada
Universidad San Ignacio de Loyola,08-10-2017,Resolución / Más información,Lima/Lima,Privada
Universidad Peruana de Ciencias Aplicadas,06-10-2017,Resolución / Más información,Lima/Lima,Privada
Universidad Nacional José María Arguedas,02-10-2017,Resolución / Más información,Apurímac/Andahuaylas,Pública
Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,17-09-2017,Resolución / Más información,Amazonas/Chachapoyas,Pública
Universidad de San Martín de Porres,11-08-2017,Resolución / Más información,Lima/Lima,Privada
Universidad Antonio Ruiz de Montoya,03-06-2017,Resolución / Más información,Lima/Lima,Privada
Universidad Nacional Autónoma de Huanta,19-04-2017,Resolución / Más información,Ayacucho/Huanta,Pública
Universidad Nacional Agraria la Molina,20-03-2017,Resolución / Más información,Lima/Lima,Pública
Universidad de Piura,27-01-2017,Resolución / Más información,Piura/Piura,Privada
Universidad Ricardo Palma,31-12-2016,Resolución / Más información,Lima/Lima,Privada
Universidad Femenina del Sagrado Corazón,15-12-2016,Resolución / Más información,Lima/Lima,Privada
Universidad de Ciencias y Artes de América Latina,12-10-2016,Resolución / Más información,Lima/Lima,Privada
Universidad para el Desarrollo Andino,28-09-2016,Resolución / Más información,Huancavelica/Angaraes,Privada
Universidad Peruana Cayetano Heredia,27-07-2016,Resolución / Más información,Lima/Lima,Privada
Universidad del Pacífico,27-07-2016,Resolución / Más información,Lima/Lima,Privada
Universidad de Lima,12-07-2016,Resolución / Más información,Lima/Lima,Privada
Pontificia Universidad Católica del Perú,06-07-2016,Resolución / Más información,Lima/Lima,Privada
Universidad de Ingeniería y Tecnología,25-03-2016,Resolución / Más información,Lima/Lima,Privada
